lsoa,N,status
E01009564,6,outside_london
E01024135,6,outside_london
E01030062,6,outside_london
E01024771,6,outside_london
E01029878,6,outside_london
E01021307,6,outside_london
E01022085,6,outside_london
E01021296,6,outside_london
E01033545,6,outside_london
E01030698,6,outside_london
E01023879,6,outside_london
E01030308,6,outside_london
E01016063,6,outside_london
E01016451,6,outside_london
E01023415,6,outside_london
E01024244,6,outside_london
E01020979,6,outside_london
E01016461,6,outside_london
W01001955,6,outside_london
E01015974,6,outside_london
E01024783,6,outside_london
E01023400,6,outside_london
E01023410,6,outside_london
E01024175,6,outside_london
E01016468,6,outside_london
E01016249,6,outside_london
E01023533,6,outside_london
E01030728,6,outside_london
E01031583,6,outside_london
E01021811,6,outside_london
E01015716,6,outside_london
E01033051,6,outside_london
E01030343,6,outside_london
E01024454,6,outside_london
E01023738,6,outside_london
E01009146,6,outside_london
E01021369,6,outside_london
E01023846,6,outside_london
E01023893,6,outside_london
E01023308,6,outside_london
E01030652,6,outside_london
E01016005,6,outside_london
E01033211,6,outside_london
E01024460,6,outside_london
E01024532,6,outside_london
E01030730,6,outside_london
E01021275,6,outside_london
E01023347,6,outside_london
E01016572,6,outside_london
E01021827,6,outside_london
E01023838,6,outside_london
E01027228,6,outside_london
E01023892,6,outside_london
E01021304,6,outside_london
E01023470,6,outside_london
E01016044,6,outside_london
E01015995,6,outside_london
E01023964,6,outside_london
E01030692,6,outside_london
E01008831,6,outside_london
E01023752,6,outside_london
E01023722,6,outside_london
E01023948,6,outside_london
E01023394,6,outside_london
E01017820,6,outside_london
E01015931,6,outside_london
E01021822,6,outside_london
E01016032,6,outside_london
E01024446,6,outside_london
E01024407,6,outside_london
E01016019,6,outside_london
E01026623,6,outside_london
E01031025,6,outside_london
E01024431,6,outside_london
E01021254,6,outside_london
E01015867,6,outside_london
E01023899,6,outside_london
E01023322,6,outside_london
E01016478,6,outside_london
E01023880,6,outside_london
E01017712,6,outside_london
E01024315,6,outside_london
E01030612,6,outside_london
E01024465,6,outside_london
E01021272,6,outside_london
E01031608,6,outside_london
E01021753,6,outside_london
E01015757,6,outside_london
E01033459,6,outside_london
E01017754,6,outside_london
E01021997,6,outside_london
E01033723,6,outside_london
E01015738,6,outside_london
E01024611,6,outside_london
E01023437,6,outside_london
E01015717,6,outside_london
E01031308,6,outside_london
E01021293,6,outside_london
E01023409,6,outside_london
E01030312,6,outside_london
E01033655,6,outside_london
E01030599,6,outside_london
E01032817,6,outside_london
E01021338,6,outside_london
E01030362,6,outside_london
E01022882,6,outside_london
