borough_gss,borough_name,year,metric,value,source,geography_native,notes
E09000003,Barnet,2008,life_expectancy_birth_female,83.8,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2006 to 2008 assigned to END year; higher_is_better; 95% CI 83.4-84.2"
E09000003,Barnet,2008,life_expectancy_birth_male,79.8,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2006 to 2008 assigned to END year; higher_is_better; 95% CI 79.4-80.2"
E09000003,Barnet,2009,life_expectancy_65_female,21.7,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2007 to 2009 assigned to END year; higher_is_better; 95% CI 21.4-22"
E09000003,Barnet,2009,life_expectancy_65_male,18.9,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2007 to 2009 assigned to END year; higher_is_better; 95% CI 18.6-19.2"
E09000003,Barnet,2009,life_expectancy_birth_female,83.9,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2007 to 2009 assigned to END year; higher_is_better; 95% CI 83.5-84.3"
E09000003,Barnet,2009,life_expectancy_birth_male,79.9,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2007 to 2009 assigned to END year; higher_is_better; 95% CI 79.6-80.3"
E09000003,Barnet,2010,life_expectancy_65_female,21.7,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2008 to 2010 assigned to END year; higher_is_better; 95% CI 21.4-22"
E09000003,Barnet,2010,life_expectancy_65_male,19,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2008 to 2010 assigned to END year; higher_is_better; 95% CI 18.7-19.2"
E09000003,Barnet,2010,life_expectancy_birth_female,83.9,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2008 to 2010 assigned to END year; higher_is_better; 95% CI 83.6-84.3"
E09000003,Barnet,2010,life_expectancy_birth_male,80.1,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2008 to 2010 assigned to END year; higher_is_better; 95% CI 79.7-80.5"
E09000003,Barnet,2011,life_expectancy_65_female,21.9,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2009 to 2011 assigned to END year; higher_is_better; 95% CI 21.6-22.2"
E09000003,Barnet,2011,life_expectancy_65_male,19.3,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2009 to 2011 assigned to END year; higher_is_better; 95% CI 19-19.6"
E09000003,Barnet,2011,life_expectancy_birth_female,84,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2009 to 2011 assigned to END year; higher_is_better; 95% CI 83.7-84.4"
E09000003,Barnet,2011,life_expectancy_birth_male,80.6,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2009 to 2011 assigned to END year; higher_is_better; 95% CI 80.2-81"
E09000003,Barnet,2012,life_expectancy_65_female,22.1,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2010 to 2012 assigned to END year; higher_is_better; 95% CI 21.9-22.4"
E09000003,Barnet,2012,life_expectancy_65_male,19.7,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2010 to 2012 assigned to END year; higher_is_better; 95% CI 19.4-20"
E09000003,Barnet,2012,life_expectancy_birth_female,84.4,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2010 to 2012 assigned to END year; higher_is_better; 95% CI 84.1-84.8"
E09000003,Barnet,2012,life_expectancy_birth_male,81.2,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2010 to 2012 assigned to END year; higher_is_better; 95% CI 80.8-81.6"
