borough_gss,borough_name,year,metric,value,source,geography_native,notes
E09000004,Bexley,1999,income_median,17200,HMRC personal income by tax year (London Datastore),borough,financial year 1999-00 assigned to start year; analysis metric
E09000004,Bexley,1999,income_taxpayers,105000,HMRC personal income by tax year (London Datastore),borough,financial year 1999-00 assigned to start year; supplementary
E09000004,Bexley,2000,income_mean,19800,HMRC personal income by tax year (London Datastore),borough,financial year 2000-01 assigned to start year; supplementary
E09000004,Bexley,2000,income_median,17300,HMRC personal income by tax year (London Datastore),borough,financial year 2000-01 assigned to start year; analysis metric
E09000004,Bexley,2000,income_taxpayers,116000,HMRC personal income by tax year (London Datastore),borough,financial year 2000-01 assigned to start year; supplementary
E09000004,Bexley,2001,income_mean,22000,HMRC personal income by tax year (London Datastore),borough,financial year 2001-02 assigned to start year; supplementary
E09000004,Bexley,2001,income_median,18300,HMRC personal income by tax year (London Datastore),borough,financial year 2001-02 assigned to start year; analysis metric
E09000004,Bexley,2001,income_taxpayers,112000,HMRC personal income by tax year (London Datastore),borough,financial year 2001-02 assigned to start year; supplementary
E09000004,Bexley,2002,income_mean,21500,HMRC personal income by tax year (London Datastore),borough,financial year 2002-03 assigned to start year; supplementary
E09000004,Bexley,2002,income_median,17800,HMRC personal income by tax year (London Datastore),borough,financial year 2002-03 assigned to start year; analysis metric
E09000004,Bexley,2002,income_taxpayers,114000,HMRC personal income by tax year (London Datastore),borough,financial year 2002-03 assigned to start year; supplementary
E09000004,Bexley,2003,income_mean,21900,HMRC personal income by tax year (London Datastore),borough,financial year 2003-04 assigned to start year; supplementary
E09000004,Bexley,2003,income_median,17700,HMRC personal income by tax year (London Datastore),borough,financial year 2003-04 assigned to start year; analysis metric
E09000004,Bexley,2003,income_taxpayers,113000,HMRC personal income by tax year (London Datastore),borough,financial year 2003-04 assigned to start year; supplementary
E09000004,Bexley,2004,income_mean,22300,HMRC personal income by tax year (London Datastore),borough,financial year 2004-05 assigned to start year; supplementary
E09000004,Bexley,2004,income_median,17700,HMRC personal income by tax year (London Datastore),borough,financial year 2004-05 assigned to start year; analysis metric
E09000004,Bexley,2004,income_taxpayers,124000,HMRC personal income by tax year (London Datastore),borough,financial year 2004-05 assigned to start year; supplementary
E09000004,Bexley,2005,income_mean,24000,HMRC personal income by tax year (London Datastore),borough,financial year 2005-06 assigned to start year; supplementary
E09000004,Bexley,2005,income_median,19400,HMRC personal income by tax year (London Datastore),borough,financial year 2005-06 assigned to start year; analysis metric
E09000004,Bexley,2005,income_taxpayers,121000,HMRC personal income by tax year (London Datastore),borough,financial year 2005-06 assigned to start year; supplementary
E09000004,Bexley,2006,income_mean,24600,HMRC personal income by tax year (London Datastore),borough,financial year 2006-07 assigned to start year; supplementary
E09000004,Bexley,2006,income_median,19600,HMRC personal income by tax year (London Datastore),borough,financial year 2006-07 assigned to start year; analysis metric
E09000004,Bexley,2006,income_taxpayers,123000,HMRC personal income by tax year (London Datastore),borough,financial year 2006-07 assigned to start year; supplementary
E09000004,Bexley,2007,income_mean,26700,HMRC personal income by tax year (London Datastore),borough,financial year 2007-08 assigned to start year; supplementary
E09000004,Bexley,2007,income_median,19800,HMRC personal income by tax year (London Datastore),borough,financial year 2007-08 assigned to start year; analysis metric
E09000004,Bexley,2007,income_taxpayers,123000,HMRC personal income by tax year (London Datastore),borough,financial year 2007-08 assigned to start year; supplementary
E09000004,Bexley,2009,income_mean,27600,HMRC personal income by tax year (London Datastore),borough,financial year 2009-10 assigned to start year; supplementary
E09000004,Bexley,2009,income_median,22100,HMRC personal income by tax year (London Datastore),borough,financial year 2009-10 assigned to start year; analysis metric
E09000004,Bexley,2009,income_taxpayers,117000,HMRC personal income by tax year (London Datastore),borough,financial year 2009-10 assigned to start year; supplementary
E09000004,Bexley,2010,income_mean,27400,HMRC personal income by tax year (London Datastore),borough,financial year 2010-11 assigned to start year; supplementary
E09000004,Bexley,2010,income_median,22600,HMRC personal income by tax year (London Datastore),borough,financial year 2010-11 assigned to start year; analysis metric
E09000004,Bexley,2010,income_taxpayers,114000,HMRC personal income by tax year (London Datastore),borough,financial year 2010-11 assigned to start year; supplementary
E09000004,Bexley,2011,income_mean,28300,HMRC personal income by tax year (London Datastore),borough,financial year 2011-12 assigned to start year; supplementary
E09000004,Bexley,2011,income_median,22300,HMRC personal income by tax year (London Datastore),borough,financial year 2011-12 assigned to start year; analysis metric
E09000004,Bexley,2011,income_taxpayers,114000,HMRC personal income by tax year (London Datastore),borough,financial year 2011-12 assigned to start year; supplementary
E09000004,Bexley,2012,income_mean,28600,HMRC personal income by tax year (London Datastore),borough,financial year 2012-13 assigned to start year; supplementary
E09000004,Bexley,2012,income_median,23100,HMRC personal income by tax year (London Datastore),borough,financial year 2012-13 assigned to start year; analysis metric
E09000004,Bexley,2012,income_taxpayers,115000,HMRC personal income by tax year (London Datastore),borough,financial year 2012-13 assigned to start year; supplementary
E09000004,Bexley,2013,income_mean,29600,HMRC personal income by tax year (London Datastore),borough,financial year 2013-14 assigned to start year; supplementary
E09000004,Bexley,2013,income_median,24400,HMRC personal income by tax year (London Datastore),borough,financial year 2013-14 assigned to start year; analysis metric
E09000004,Bexley,2013,income_taxpayers,118000,HMRC personal income by tax year (London Datastore),borough,financial year 2013-14 assigned to start year; supplementary
E09000004,Bexley,2014,income_mean,30200,HMRC personal income by tax year (London Datastore),borough,financial year 2014-15 assigned to start year; supplementary
E09000004,Bexley,2014,income_median,24400,HMRC personal income by tax year (London Datastore),borough,financial year 2014-15 assigned to start year; analysis metric
E09000004,Bexley,2014,income_taxpayers,122000,HMRC personal income by tax year (London Datastore),borough,financial year 2014-15 assigned to start year; supplementary
E09000004,Bexley,2015,income_mean,30900,HMRC personal income by tax year (London Datastore),borough,financial year 2015-16 assigned to start year; supplementary
E09000004,Bexley,2015,income_median,24500,HMRC personal income by tax year (London Datastore),borough,financial year 2015-16 assigned to start year; analysis metric
E09000004,Bexley,2015,income_taxpayers,127000,HMRC personal income by tax year (London Datastore),borough,financial year 2015-16 assigned to start year; supplementary
E09000004,Bexley,2016,income_mean,32300,HMRC personal income by tax year (London Datastore),borough,financial year 2016-17 assigned to start year; supplementary
E09000004,Bexley,2016,income_median,26100,HMRC personal income by tax year (London Datastore),borough,financial year 2016-17 assigned to start year; analysis metric
E09000004,Bexley,2016,income_taxpayers,125000,HMRC personal income by tax year (London Datastore),borough,financial year 2016-17 assigned to start year; supplementary
E09000004,Bexley,2017,income_mean,33500,HMRC personal income by tax year (London Datastore),borough,financial year 2017-18 assigned to start year; supplementary
E09000004,Bexley,2017,income_median,26900,HMRC personal income by tax year (London Datastore),borough,financial year 2017-18 assigned to start year; analysis metric
E09000004,Bexley,2017,income_taxpayers,122000,HMRC personal income by tax year (London Datastore),borough,financial year 2017-18 assigned to start year; supplementary
E09000004,Bexley,2018,income_mean,34600,HMRC personal income by tax year (London Datastore),borough,financial year 2018-19 assigned to start year; supplementary
E09000004,Bexley,2018,income_median,26900,HMRC personal income by tax year (London Datastore),borough,financial year 2018-19 assigned to start year; analysis metric
E09000004,Bexley,2018,income_taxpayers,130000,HMRC personal income by tax year (London Datastore),borough,financial year 2018-19 assigned to start year; supplementary
E09000004,Bexley,2019,income_mean,36000,HMRC personal income by tax year (London Datastore),borough,financial year 2019-20 assigned to start year; supplementary
E09000004,Bexley,2019,income_median,28000,HMRC personal income by tax year (London Datastore),borough,financial year 2019-20 assigned to start year; analysis metric
E09000004,Bexley,2019,income_taxpayers,126000,HMRC personal income by tax year (London Datastore),borough,financial year 2019-20 assigned to start year; supplementary
E09000004,Bexley,2020,income_mean,36400,HMRC personal income by tax year (London Datastore),borough,financial year 2020-21 assigned to start year; supplementary
E09000004,Bexley,2020,income_median,28800,HMRC personal income by tax year (London Datastore),borough,financial year 2020-21 assigned to start year; analysis metric
E09000004,Bexley,2020,income_taxpayers,126000,HMRC personal income by tax year (London Datastore),borough,financial year 2020-21 assigned to start year; supplementary
E09000004,Bexley,2021,income_mean,38000,HMRC personal income by tax year (London Datastore),borough,financial year 2021-22 assigned to start year; supplementary
E09000004,Bexley,2021,income_median,29300,HMRC personal income by tax year (London Datastore),borough,financial year 2021-22 assigned to start year; analysis metric
E09000004,Bexley,2021,income_taxpayers,135000,HMRC personal income by tax year (London Datastore),borough,financial year 2021-22 assigned to start year; supplementary
