borough_gss,borough_name,year,metric,value,source,geography_native,notes
E09000011,Greenwich,2018,crime_rate_per_1000,108.01,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000011,Greenwich,2019,crime_rate_per_1000,114.62,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000011,Greenwich,2020,crime_rate_per_1000,124.55,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000011,Greenwich,2021,crime_rate_per_1000,113.63,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000011,Greenwich,2022,crime_rate_per_1000,111.2,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000011,Greenwich,2023,crime_rate_per_1000,113.12,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000011,Greenwich,2024,crime_rate_per_1000,112.21,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000012,Hackney,2011,crime_rate_per_1000,167.46,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000012,Hackney,2012,crime_rate_per_1000,157.85,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000012,Hackney,2013,crime_rate_per_1000,141.59,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000012,Hackney,2014,crime_rate_per_1000,133.17,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000012,Hackney,2015,crime_rate_per_1000,132.53,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000012,Hackney,2016,crime_rate_per_1000,140.11,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000012,Hackney,2017,crime_rate_per_1000,149.91,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000012,Hackney,2018,crime_rate_per_1000,144.93,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000012,Hackney,2019,crime_rate_per_1000,153.52,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000012,Hackney,2020,crime_rate_per_1000,178.36,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
